iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-134.34,-134.34
3,47.62,-134.34,-133.6704
4,-121.60000000000001,-133.6704,-133.0124
5,-121.60000000000001,-133.0124,-132.3956
6,-121.60000000000001,-132.3956,-131.8248
7,-121.60000000000001,-131.8248,-131.42000000000002
8,-121.60000000000001,-131.42000000000002,-130.9664
9,-121.60000000000001,-130.9664,-130.5444
10,-121.60000000000001,-130.5444,-130.11
11,-121.60000000000001,-130.11,-129.7936
12,-121.60000000000001,-129.7936,-129.5076
13,-121.60000000000001,-129.5076,-129.1724
14,-121.60000000000001,-129.1724,-128.852
15,-121.60000000000001,-128.852,-128.61120011165013
16,-121.60000000000001,-128.61120011165013,-128.39200000000002
17,-121.60000000000001,-128.39200000000002,-128.14600000000002
18,-121.60000000000001,-128.14600000000002,-127.89920000000001
19,-121.60000000000001,-127.89920000000001,-127.70640000000002
20,-121.60000000000001,-127.70640000000002,-127.52920000000002
21,-121.60000000000001,-127.52920000000002,-127.27840000000002
22,-121.60000000000001,-127.27840000000002,-127.0048
23,-121.60000000000001,-127.0048,-126.91680000000001
24,-121.60000000000001,-126.91680000000001,-126.82480000000001
25,-121.60000000000001,-126.82480000000001,-126.64320000000001
26,-121.60000000000001,-126.64320000000001,-126.43840000000002
27,-121.60000000000001,-126.43840000000002,-126.30640000000002
28,-121.60000000000001,-126.30640000000002,-126.2508
29,-121.60000000000001,-126.2508,-126.09720000000002
30,-121.60000000000001,-126.09720000000002,-125.92160000000001
31,-121.60000000000001,-125.92160000000001,-125.79200000000002
32,-121.60000000000001,-125.79200000000002,-125.71280000000002
33,-121.60000000000001,-125.71280000000002,-125.5588
34,-121.60000000000001,-125.5588,-125.3872
35,-121.60000000000001,-125.5588,-125.27440000000001
36,-121.60000000000001,-125.3872,-125.20080000000002
37,-121.60000000000001,-125.20080000000002,-125.08080000000002
38,-121.60000000000001,-125.08080000000002,-124.95080000000002
39,-121.60000000000001,-124.95080000000002,-124.91080000000002
40,-121.60000000000001,-124.91080000000002,-124.76240000000001
41,-121.60000000000001,-124.91080000000002,-124.7112
42,-121.60000000000001,-124.7112,-124.60720000000002
43,-121.60000000000001,-124.60720000000002,-124.44400000000002
44,-121.60000000000001,-124.44400000000002,-124.38440000000001
45,-121.60000000000001,-124.38440000000001,-124.36720000000003
46,-121.60000000000001,-124.36720000000003,-124.26160000000002
47,-121.60000000000001,-124.26160000000002,-124.21040000000002
48,-121.60000000000001,-124.21040000000002,-124.14200000000002
49,-121.60000000000001,-124.14200000000002,-124.03440000000002
50,-121.60000000000001,-124.03440000000002,-124.01320001743736
51,-121.60000000000001,-124.01320001743736,-123.92680000000001
52,-121.60000000000001,-123.92680000000001,-123.84760006028235
53,-121.60000000000001,-123.84760006028235,-123.70320000000002
54,-121.60000000000001,-123.70320000000002,-123.66280006028246
55,-121.60000000000001,-123.66280006028246,-123.62640000000002
56,-121.60000000000001,-123.62640000000002,-123.58600000000003
57,-121.60000000000001,-123.58600000000003,-123.54320000000001
58,-121.60000000000001,-123.54320000000001,-123.45440000000002
59,-121.60000000000001,-123.45440000000002,-123.34440000000002
60,-121.60000000000001,-123.34440000000002,-123.29920000000003
61,-121.60000000000001,-123.29920000000003,-123.24320000000002
62,-121.60000000000001,-123.24320000000002,-123.14800000000002
63,-121.60000000000001,-123.14800000000002,-123.11080000000003
64,-121.60000000000001,-123.11080000000003,-123.04000000000002
65,-121.60000000000001,-123.04000000000002,-122.99800000000003
66,-121.60000000000001,-122.99800000000003,-122.97920000000003
67,-121.60000000000001,-122.99800000000003,-122.88800000000003
68,-121.60000000000001,-122.97920000000003,-122.83920000000002
69,-121.60000000000001,-122.83920000000002,-122.79880000000004
70,-121.60000000000001,-122.79880000000004,-122.76440000000004
71,-121.60000000000001,-122.76440000000004,-122.66880000000002
72,-121.60000000000001,-122.66880000000002,-122.67400000000004
73,-121.60000000000001,-122.66880000000002,-122.64400000000002
74,-121.60000000000001,-122.66880000000002,-122.64760000000003
75,-121.60000000000001,-122.64400000000002,-122.65160000000003
76,-121.60000000000001,-122.64400000000002,-122.63960000000003
77,-121.60000000000001,-122.63960000000003,-122.64760000000003
78,-121.60000000000001,-122.63960000000003,-122.63480000000003
79,-121.60000000000001,-122.63480000000003,-122.59400000000002
80,-121.60000000000001,-122.59400000000002,-122.43160000000003
81,-121.60000000000001,-122.43160000000003,-122.36800000000004
82,-121.60000000000001,-122.36800000000004,-122.29920000000004
83,-121.60000000000001,-122.29920000000004,-122.30160000000005
84,-121.60000000000001,-122.29920000000004,-122.22440000000005
85,-121.60000000000001,-122.22440000000005,-122.16400000000004
86,-121.60000000000001,-122.16400000000004,-122.15200000000003
87,-121.60000000000001,-122.15200000000003,-122.11000000000006
88,-121.60000000000001,-122.11000000000006,-122.06920000000004
89,-121.60000000000001,-122.11000000000006,-122.03760000000004
90,-121.60000000000001,-122.06920000000004,-122.02640000000002
91,-121.60000000000001,-122.03760000000004,-122.01720000000003
92,-121.60000000000001,-122.02640000000002,-122.00800000000002
93,-121.60000000000001,-122.01720000000003,-121.99960000000003
94,-121.60000000000001,-122.00800000000002,-121.99120000000003
95,-121.60000000000001,-121.99960000000003,-121.98280000000003
96,-121.60000000000001,-121.99120000000003,-121.97440000000003
97,-121.60000000000001,-121.98280000000003,-121.97920000000003
98,-121.60000000000001,-121.97440000000003,-121.97480000000004
99,-121.60000000000001,-121.97440000000003,-121.97840000000004
100,-121.60000000000001,-121.97440000000003,-121.97320000000003
101,-121.60000000000001,-121.97440000000003,-121.97840000000004
102,-121.60000000000001,-121.97320000000003,-121.97320000000003
103,-121.60000000000001,-121.97320000000003,-121.97840000000004
104,-121.60000000000001,-121.97320000000003,-121.97320000000003
105,-121.60000000000001,-121.97320000000003,-121.97840000000004
106,-121.60000000000001,-121.97320000000003,-121.97520000000003
107,-121.60000000000001,-121.97320000000003,-121.97520000000003
108,-121.60000000000001,-121.97320000000003,-121.97520000000003
109,-121.60000000000001,-121.97320000000003,-121.97520000000003
110,-121.60000000000001,-121.97320000000003,-121.97520000000003
111,-121.60000000000001,-121.97320000000003,-121.97520000000003
112,-121.60000000000001,-121.97320000000003,-121.97520000000003
113,-121.60000000000001,-121.97320000000003,-121.97520000000003
114,-121.60000000000001,-121.97320000000003,-121.97520000000003
115,-121.60000000000001,-121.97320000000003,-121.97520000000003
116,-121.60000000000001,-121.97320000000003,-121.97520000000003
117,-121.60000000000001,-121.97320000000003,-121.97520000000003
118,-121.60000000000001,-121.97320000000003,-121.97520000000003
119,-121.60000000000001,-121.97320000000003,-121.97520000000003
120,-121.60000000000001,-121.97320000000003,-121.97520000000003
121,-121.60000000000001,-121.97320000000003,-121.97520000000003
122,-121.60000000000001,-121.97320000000003,-121.97520000000003
123,-121.60000000000001,-121.97320000000003,-121.97520000000003
124,-121.60000000000001,-121.97320000000003,-121.97520000000003
125,-121.60000000000001,-121.97320000000003,-121.97520000000003
126,-121.60000000000001,-121.97320000000003,-121.97520000000004
127,-121.60000000000001,-121.97320000000003,-121.97520000000004
128,-121.60000000000001,-121.97320000000003,-121.97520000000004
129,-121.60000000000001,-121.97320000000003,-121.97520000000004
130,-121.60000000000001,-121.97320000000003,-121.97520000000004
131,-121.60000000000001,-121.97320000000003,-121.97520000000004
132,-121.60000000000001,-121.97320000000003,-121.97520000000004
133,-121.60000000000001,-121.97320000000003,-121.97520000000004
134,-121.60000000000001,-121.97320000000003,-121.97520000000004
135,-121.60000000000001,-121.97320000000003,-121.97520000000004
136,-121.60000000000001,-121.97320000000003,-121.97520000000004
137,-121.60000000000001,-121.97320000000003,-121.97520000000004
138,-121.60000000000001,-121.97320000000003,-121.97520000000004
139,-121.60000000000001,-121.97320000000003,-121.97520000000004
140,-121.60000000000001,-121.97320000000003,-121.97520000000004
141,-121.60000000000001,-121.97320000000003,-121.97520000000004
142,-121.60000000000001,-121.97320000000003,-121.97520000000004
143,-121.60000000000001,-121.97320000000003,-121.97520000000004
144,-121.60000000000001,-121.97320000000003,-121.97520000000004
145,-121.60000000000001,-121.97320000000003,-121.97520000000004
146,-121.60000000000001,-121.97320000000003,-121.97520000000004
147,-121.60000000000001,-121.97320000000003,-121.97520000000004
148,-121.60000000000001,-121.97320000000003,-121.97520000000004
149,-121.60000000000001,-121.97320000000003,-121.97520000000004
150,0.0,0.0,-121.97520000000004
